2019-05-07 12:16:21.279 [http-bio-8001-exec-5] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:21.299 [http-bio-8001-exec-9] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:21.302 [http-bio-8001-exec-5] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:35.968 [http-bio-8001-exec-2] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:35.983 [http-bio-8001-exec-2] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:16:36.099 [http-bio-8001-exec-3] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:16:36.109 [http-bio-8001-exec-3] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
2019-05-07 12:17:19.911 [http-bio-8001-exec-9] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:17:19.917 [http-bio-8001-exec-5] INFO  eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - Retrieving all deployments stored.
2019-05-07 12:17:19.923 [http-bio-8001-exec-9] DEBUG eu.hopu.activage.metadataStorageClient.MetadataOkHttpClient - All deploymentMetadata correctly retrieved
